article,rev_id
Knacyntar Nedd,1247514093
Melford Nicholas,1241592535
Shawn Nicholas,1247632364
Bernard Percival,1241564686
Jamale Pringle,1241592215
Philip Shoul,1247632342
Rawdon Turner,1247632346
Alincia Williams-Grant,1241592542
Juan Alemann,1227499891
Germán Alfaro,1223272051
Joaquín Samuel de Anchorena,1227458965
Juan Agustín Augier,1217815148
Uladislao Augier,1217815124
Marco Aurelio Avellaneda,1233010330
Joaquín Belgrano,1229623675
Antonio Bermejo,1225811362
Antonio Beruti,1243926512
Héctor Bidonde,1221160348
Silvano Bores,1225775647
Exequiel Bustillo,1188044851
Mario Cafiero,1135193654
Alberto Manuel Campos,1166331326
Alejo Castex,1231276700
Dámaso Centeno,1245130520
Rossana Chahla,1227517224
Lázaro Chiappe,1232135530
Carlos Corach,1227620960
Jorge Coscia,1227459720
Carlos de la Rosa,1209668330
Juan Carlos Del Bello,1225784914
Luis L. Domínguez,1234469779
Máximo Etchecopar,1243279888
Héctor Toty Flores,1067754685
Guillermo Francos,1245178482
Juan Fugl,1148828249
Santiago Gallo,1039135531
Manuel José García,1227616001
Juan José Gómez Centurión,1225793565
Luis Carlos Gómez Centurión,1225793589
Martín Guzmán,1227515965
Federico Helguera,1162056054
Fernando Iglesias (Argentine politician),1217866134
Ricardo Kennedy,1240898573
Carlos Kunkel,1225799546
Norberto La Porta,1225799869
Andrés Larroque,1248572448
Julián de Leyva,1234698824
Mónica López (politician),797826672
Lucio Victorio Mansilla,1210433646
Nicolás Massot,1222899462
Martín Menem,1247590161
Juan Mignaburu,1166892817
Guillermo Montenegro,1096175549
Mariano Moreno,1248788227
Marcelo Muniagurria,1242262794
Fernando Nadra,1238199017
Rómulo Sebastián Naón,1193099129
Santiago G. O'Farrell,1228141029
Alfredo Olmedo,1226445117
Miguel Ángel Pesce,1211044406
Carlos Petroni,1199679676
Alejo Peyret,1138003698
Aldo Pignanelli,1106856167
Abel Posse,1245068036
Enrique S. Quintana,1016343362
Amán Rawson,1226040049
Martín Sabbatella,1166890663
Juan Pablo Schiavi,1195011460
Héctor Tizón,1222501416
Claudio Uberti,1245464700
Arístides Villanueva,1227361697
Jorge Yoma,1191859791
Ashot Arsenyan,1218601969
Vigen Chitechyan,1124301399
Hayk Chobanyan,1231768992
Gurgen Egiazaryan,1103745376
Parunak Ferukhan,1214660598
Gevorg Ghazaryan (politician),1180063729
Andrias Ghukasyan,1214660728
Aram Grigoryan (politician),1214660921
Vahagn Hovakimyan,1224369324
Tigran Karapetyan,1231946069
Tigran Khzmalyan,1237979345
Mikayel Kotanyan,1226313476
Hrant Maloyan,1250311867
Khachatur Malumian,1210493386
Aram Manukyan,1214661551
Gevorg Melik-Karagyozyan,1180063778
Vahan Minakhoryan,1214661649
Ruben Miroyan,1228290809
Ruben Mirzakhanyan,1214661775
Badal Muradyan,1214662146
Narine Tukhikyan,1233470777
Gabriel Noradoungian,1240224564
Israel Ori,1214986895
Paul Paul,1215924661
Garo Paylan,1249622641
Genrikh Poghosyan,1214662694
Ishkhan Saghatelyan,1243510830
Karen Sargsyan (sociologist),1217803359
Martiros Sarukhanyan,1214669503
Vartkes Serengülian,1214669611
Suren Shadunts,1242146414
Ohannes Tchekidjian,1215201883
Hrayr Tovmasyan,1243511026
Usub Bek Temuryan,1243494457
Kegham Vanigian,1214670011
Serop Zakaryan,1222543352
Alfons Adam,1244617588
Ingo Appelt,1244447844
"Maximilian Anton Karl, Count Baillet de Latour",1226152632
Heinrich Alfred Barb,1214670404
Leopold Berchtold,1228353209
Joseph Buttinger,1214670744
Prince Carl of Solms-Braunfels,1237091760
Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376
Citizens' Ministry,1200893975
Richard von Coudenhove-Kalergi,1243336388
Franz Dinghofer,1244619292
George Abraham von Dyhrn,1231555745
Eduard von Grebmer zu Wolfsthurn,1216075327
Hans Ferlitsch,1240489075
Friedhelm Frischenschlager,1223497595
Walter Guggenberger,1154443829
Ulrich Habsburg-Lothringen,1216088776
Ernst Hampel (politician),1232067132
Hans Peter Haselsteiner,1226351964
Friedrich Wilhelm von Haugwitz,1215043658
Eduard Hedvicek,1215043825
Hermann Stern,1215044008
Jürgen Himmelbauer,1215045853
Anton Hofer,1215044432
Andreas Hörtnagl,1215046038
Franz Jetzinger,1214236945
Konstantin Jireček,1242771327
Hugo Jury,1225140706
Joseph Kenner,1169137921
Theodor Kery,1215046740
Michael Killisch-Horn,1106829544
Sophia Kircher,1242552103
Hubert Klausner,1242810704
Martin Kocher,1241392879
Józef Kożdoń,1215053905
Gottfried von Kühnelt-Leddihn,1235730032
Franz Leitner (politician),1215054152
Elmar Lichtenegger,1215483185
Julius Lippert (historian),1248432097
Reinhold Lopatka,1240127163
Karl Lütgendorf,1231556108
Jürgen Mandl,1215054486
Renate Mann,1099978355
Ferdinand Mannlicher,1250188481
Christoph Matznetter,1215054758
Johann Gregor Memhardt,1226209962
Franz Moroder,1228417930
Heinz Nittel,1226214871
Heidemaria Onodi,1246630894
